toolName,famille,discipline,discipline_categorie,total_respondants_discipline,count,fractionOfUse,percentageOfUse
EndNote,autre,Arts et Lettres,SHS,3154,4.55952380952381,NaN,NaN
EndNote,autre,Sciences physiques,STEM,2598,5.642857142857142,NaN,NaN
EndNote,autre,Droit,SHS,505,0.14285714285714285,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,2.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,4.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,0,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Médecine,Médecine,3803,4.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,0,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Sciences physiques,STEM,2598,0.5,NaN,NaN
Papers (papersapp.com),autres bureautique (wysiwyg),Droit,SHS,505,0,NaN,NaN
by hand,autre,Sciences sociales et économie,SHS,6353,7.083333333333333,NaN,NaN
by hand,autre,Sciences de la vie,STEM,5162,1.25,NaN,NaN
by hand,autre,Ingénierie & technologie,STEM,3784,1.3333333333333333,NaN,NaN
by hand,autre,Médecine,Médecine,3803,3,NaN,NaN
by hand,autre,Arts et Lettres,SHS,3154,11.583333333333332,NaN,NaN
by hand,autre,Sciences physiques,STEM,2598,0.75,NaN,NaN
by hand,autre,Droit,SHS,505,0,NaN,NaN
SimpleMind,autre,Sciences sociales et économie,SHS,6353,0,NaN,NaN
SimpleMind,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
SimpleMind,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
SimpleMind,autre,Médecine,Médecine,3803,1,NaN,NaN
SimpleMind,autre,Arts et Lettres,SHS,3154,0,NaN,NaN
SimpleMind,autre,Sciences physiques,STEM,2598,0,NaN,NaN
SimpleMind,autre,Droit,SHS,505,0,NaN,NaN
institutional server,autre,Sciences sociales et économie,SHS,6353,1,NaN,NaN
institutional server,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
institutional server,autre,Ingénierie & technologie,STEM,3784,1,NaN,NaN
institutional server,autre,Médecine,Médecine,3803,0,NaN,NaN
institutional server,autre,Arts et Lettres,SHS,3154,0,NaN,NaN
institutional server,autre,Sciences physiques,STEM,2598,0,NaN,NaN
institutional server,autre,Droit,SHS,505,0,NaN,NaN
Adobe Reader,autre,Sciences sociales et économie,SHS,6353,1,NaN,NaN
Adobe Reader,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
Adobe Reader,autre,Ingénierie & technologie,STEM,3784,2,NaN,NaN
Adobe Reader,autre,Médecine,Médecine,3803,0,NaN,NaN
Adobe Reader,autre,Arts et Lettres,SHS,3154,1,NaN,NaN
Adobe Reader,autre,Sciences physiques,STEM,2598,0,NaN,NaN
Adobe Reader,autre,Droit,SHS,505,0,NaN,NaN
email,autres bureautique (wysiwyg),Sciences sociales et économie,SHS,6353,1,NaN,NaN
email,autres bureautique (wysiwyg),Sciences de la vie,STEM,5162,0,NaN,NaN
email,autres bureautique (wysiwyg),Ingénierie & technologie,STEM,3784,1,NaN,NaN
email,autres bureautique (wysiwyg),Médecine,Médecine,3803,1,NaN,NaN
email,autres bureautique (wysiwyg),Arts et Lettres,SHS,3154,0,NaN,NaN
email,autres bureautique (wysiwyg),Sciences physiques,STEM,2598,1,NaN,NaN
email,autres bureautique (wysiwyg),Droit,SHS,505,0,NaN,NaN
Reference Manager,autre,Sciences sociales et économie,SHS,6353,1.3333333333333333,NaN,NaN
Reference Manager,autre,Sciences de la vie,STEM,5162,2.5,NaN,NaN
Reference Manager,autre,Ingénierie & technologie,STEM,3784,0,NaN,NaN
Reference Manager,autre,Médecine,Médecine,3803,5.833333333333333,NaN,NaN
Reference Manager,autre,Arts et Lettres,SHS,3154,0,NaN,NaN
Reference Manager,autre,Sciences physiques,STEM,2598,0,NaN,NaN
Reference Manager,autre,Droit,SHS,505,0.3333333333333333,NaN,NaN
Papyrus,autre,Sciences sociales et économie,SHS,6353,1,NaN,NaN
Papyrus,autre,Sciences de la vie,STEM,5162,0,NaN,NaN
Papyrus,autre,Ingénierie & technologie,STEM,3784,1,NaN,NaN
Papyrus,autre,Médecine,Médecine,3803,0,NaN,NaN
Papyrus,autre,Arts et Lettres,SHS,3154,1,NaN,NaN
Papyrus,autre,Sciences physiques,STEM,2598,0,NaN,NaN
Papyrus,autre,Droit,SHS,505,0,NaN,NaN
LyX,format/éditeur apparenté à TeX,Sciences sociales et économie,SHS,6353,16,NaN,NaN
LyX,format/éditeur apparenté à TeX,Sciences de la vie,STEM,5162,7.333333333333333,NaN,NaN
LyX,format/éditeur apparenté à TeX,Ingénierie & technologie,STEM,3784,14.833333333333334,NaN,NaN
LyX,format/éditeur apparenté à TeX,Médecine,Médecine,3803,2.5,NaN,NaN
LyX,format/éditeur apparenté à TeX,Arts et Lettres,SHS,3154,3,NaN,NaN
LyX,format/éditeur apparenté à TeX,Sciences physiques,STEM,2598,10.333333333333332,NaN,NaN
LyX,format/éditeur apparenté à TeX,Droit,SHS,505,0,NaN,NaN
TextEdit,balisage et texte brut,Sciences sociales et économie,SHS,6353,1.8333333333333333,NaN,NaN
TextEdit,balisage et texte brut,Sciences de la vie,STEM,5162,2.333333333333333,NaN,NaN
