tool,cat,compte
MS Picture,autre,0.16666666666666666
Letterspace,autre,0.16666666666666666
Ilias,autre,0.16666666666666666
yWriter,autres bureautique (wysiwyg),0.16666666666666666
CRITICAL,autre,0.16666666666666666
MINEQL+,autre,0.16666666666666666
MS Note,autres bureautique (wysiwyg),0.16666666666666666
GIS,autre,0.16666666666666666
php,autre,0.16666666666666666
Perl,autre,0.16666666666666666
Javascript,autre,0.16666666666666666
Perforce,autre,0.16666666666666666
institutional list of publications,autre,0.16666666666666666
Indian lists of recent publications,autre,0.16666666666666666
iBooks Author,autre,0.16666666666666666
GraphPad,autre,0.14285714285714285
Deckset,autre,0.14285714285714285
PagePlus,autres bureautique (wysiwyg),0.14285714285714285
Mind Genius,autre,0.14285714285714285
Linux,autre,0.14285714285714285
MediaWikiMarkdown,,0.14285714285714285
TextMate,balisage et texte brut,0.14285714285714285
PDF Pro,autre,0.125
ABBYY FineReader,autre,0.125
Google,autre,0.1111111111111111
DuckDuckGo,autre,0.1111111111111111
Google Earth,autre,0.1
iPhoto,autre,0.1
MedeA,autre,0.1
Mercury,autre,0.1
PowerCell,autre,0.1
Topas,autre,0.1
Omeka,autre,0.09090909090909091
Pinta,autre,0.09090909090909091
Windows,autre,0.08333333333333333
Web of Science,autre,0.08333333333333333
publisher website,autre,0.08333333333333333
DOI (Digital Object Identifier),autre,0.08333333333333333
online translator,balisage et texte brut,0.08333333333333333
Elsevier Webshop Language Editing,autre,0.08333333333333333
Elsevier Webshop Illustration Service,autre,0.08333333333333333
