id,role,last affiliation country,first publication year,tools,disciplines
015cddff1b3af5eb4e27085c47d5d98d,PhD student,Nigeria,2011-2016,MS Word | Google Drive/Docs,Sciences sociales et économie
015d351e69a18a964cf53ceb8f475245,PhD student,China,2011-2016,MS Word | Scrivener,Ingénierie & technologie
015d50f2e0b005b1b0fffb111743f422,Professor / Associate professor / Assistant professor,Colombia,2006-2010,MS Word,Sciences de la vie | Médecine
015f60df045bc085c873644d98122ef0,Professor / Associate professor / Assistant professor,France,2006-2010,MS Word,Médecine
015fad6128b0a4e15cb6054a79a276b9,Professor / Associate professor / Assistant professor,Germany,1991-2000,MS Word,Sciences de la vie
01618492764a693eb1640cc34cbab7b4,Other,United States,before 1991,MS Word,Arts et Lettres
0162b68a96f6413907afb729899b1210,Bachelor/Master student,United Kingdom,2011-2016,MS Word,Ingénierie & technologie | Sciences sociales et économie
016563dde6945144483e94f11aa6081d,Professor / Associate professor / Assistant professor,United States,before 1991,LaTeX,Sciences physiques | Ingénierie & technologie | Sciences de la vie
0167769c5402460ae0dc6216d946ab8c,Professor / Associate professor / Assistant professor,Canada,before 1991,MS Word,Médecine
0171bc819687a432bda13c0c84961db7,PhD student,India,2011-2016,MS Word | Google Drive/Docs,Arts et Lettres
017c7b967fb3312f8d3a996f90d1e871,Other,United Kingdom,2001-2005,MS Word,Sciences sociales et économie
017f3f773117eeb8441a660a1563f249,Bachelor/Master student,Indonesia,2006-2010,MS Word,Sciences sociales et économie
01877df2e38f4e59f9f09edf0eee39df,Bachelor/Master student,Germany,I haven't published (yet),MS Word,Ingénierie & technologie
01896cffddb9ceaa34c6b6f4653e29a1,Other,Canada,2011-2016,Zotero | MS Word,Sciences sociales et économie
018a9856ea25f46bbb92acf481f6aaec,Professor / Associate professor / Assistant professor,Czech Republic,2001-2005,MS Word,Ingénierie & technologie
018aa577dd43c6c14d0f94e1f5327001,Bachelor/Master student,Peru,I haven't published (yet),MS Word,Sciences sociales et économie
018b3afee1cc74f17e88f1055669b64b,Postdoc,United Kingdom,2006-2010,MS Word,Sciences physiques | Ingénierie & technologie
01965f6088309c6f5913efe8de1ac180,PhD student,United States,I haven't published (yet),MS Excel | MS Word,Sciences sociales et économie
019a9f0333384fb9802df097023ec64d,Bachelor/Master student,Kenya,I haven't published (yet),MS Word,Sciences sociales et économie
01a19c446d61536625a077b0c8d7ae16,Professor / Associate professor / Assistant professor,France,before 1991,MS Word,Sciences physiques | Ingénierie & technologie
01a2766b69a83b81f8a5ed7b7a68f8e0,PhD student,United Kingdom,I haven't published (yet),MS Word,Sciences sociales et économie
01a58455596b5bff59f1a7d6762fd0b0,Librarian,United States,1991-2000,MS Word | Google Drive/Docs,Médecine
01a5c30b559c5b5ade71245ecdd270f6,Professor / Associate professor / Assistant professor,Australia,before 1991,MS Word | Google Drive/Docs,Médecine
01a66937a36b7e9bae5af61deed09cf5,Professor / Associate professor / Assistant professor,United States,2006-2010,MS Word,Sciences de la vie
01a757f76688b3e5d7e9442affddd632,PhD student,Netherlands,2006-2010,MS Word,Sciences sociales et économie
01a96ba8a2755d40e6ac76c88779da35,Bachelor/Master student,China,2011-2016,MS Word,Sciences sociales et économie
01aba269e62196b7233ce416006da8a5,Professor / Associate professor / Assistant professor,Spain,2006-2010,MS Word | Google Drive/Docs,Sciences sociales et économie
01ac4c459b695c3c8eb7d8fa8d216647,Professor / Associate professor / Assistant professor,Netherlands,before 1991,MS Word,Sciences de la vie
01acb9e5c8abef51638eeb2dffa01dd1,Postdoc,Germany,2001-2005,WordPerfect | MS Word,Sciences de la vie
01c06fa09d29fd4c0edc40bd92448691,Librarian,Canada,2011-2016,TextWrangler | MS Word | Google Drive/Docs | LaTeX | Scrivener,Sciences de la vie
01c3e5da143944d2ab1bbe3469307322,PhD student,United States,2011-2016,MS Word,Sciences sociales et économie
01c3eb94f2914b2e4f620932ec307ee0,Postdoc,Switzerland,2006-2010,MS Word,Sciences de la vie
01ca128abaf67f73940cf78358d55612,Professor / Associate professor / Assistant professor,Macedonia,before 1991,MS Word,Médecine
